customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,Churn,TotalCharges
0000-TEST,Male,1,Yes,No,62,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),52.06,Yes,3227.7200000000003
0001-TEST,Female,0,Yes,No,31,Yes,Yes,Fiber optic,No internet service,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,70.76,Yes,2193.56
0002-TEST,Male,1,Yes,Yes,32,No,Yes,No,Yes,Yes,No internet service,Yes,No internet service,Yes,Two year,Yes,Credit card (automatic),91.84,No,2938.88
0003-TEST,Male,1,No,Yes,66,No,Yes,No,No,Yes,No,No internet service,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),18.59,No,1226.94
0004-TEST,Male,0,No,No,17,No,No,Fiber optic,No internet service,No,No,Yes,Yes,No internet service,One year,No,Electronic check,65.21,No,1108.57
0005-TEST,Female,1,Yes,No,24,No,Yes,Fiber optic,Yes,No,No,Yes,No internet service,No internet service,One year,Yes,Bank transfer (automatic),48.1,No,1154.4
0006-TEST,Male,0,No,No,53,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,103.96,Yes,5509.88
0007-TEST,Male,0,No,No,57,No,No phone service,No,No internet service,No,Yes,Yes,Yes,No,Two year,Yes,Electronic check,90.16,Yes,5139.12
0008-TEST,Male,0,No,No,66,No,Yes,Fiber optic,No internet service,Yes,Yes,No internet service,Yes,No,Month-to-month,No,Mailed check,77.46,No,5112.36
0009-TEST,Female,0,No,No,45,No,No phone service,No,Yes,No,Yes,No internet service,No internet service,Yes,Two year,Yes,Mailed check,46.12,Yes,2075.4
0010-TEST,Male,0,No,Yes,23,No,No,DSL,Yes,No internet service,No,No,Yes,Yes,One year,No,Bank transfer (automatic),109.74,No,2524.02
0011-TEST,Male,0,Yes,No,31,No,Yes,DSL,Yes,No internet service,No internet service,No internet service,No,No internet service,Two year,No,Mailed check,22.78,No,706.1800000000001
0012-TEST,Male,1,No,No,46,Yes,No phone service,Fiber optic,No,No internet service,Yes,No internet service,No internet service,Yes,One year,Yes,Bank transfer (automatic),29.25,Yes,1345.5
0013-TEST,Male,0,Yes,Yes,22,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,No,No internet service,Yes,Two year,Yes,Electronic check,57.61,No,1267.42
0014-TEST,Female,0,Yes,Yes,65,No,No,Fiber optic,No internet service,No internet service,No,No internet service,No internet service,Yes,Two year,No,Bank transfer (automatic),30.76,Yes,1999.4
0015-TEST,Male,0,No,Yes,26,Yes,Yes,DSL,No internet service,Yes,No internet service,Yes,No internet service,No,Two year,No,Electronic check,114.37,Yes,2973.62
0016-TEST,Female,0,Yes,Yes,1,No,Yes,No,Yes,No internet service,No internet service,Yes,No,No,Month-to-month,No,Bank transfer (automatic),98.45,Yes,98.45
0017-TEST,Female,1,Yes,No,16,No,No phone service,DSL,Yes,No internet service,No,No,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),44.28,Yes,708.48
0018-TEST,Female,0,Yes,No,32,Yes,Yes,No,No internet service,No internet service,No,No,No internet service,Yes,One year,No,Credit card (automatic),77.4,No,2476.8
0019-TEST,Male,1,No,No,8,Yes,No phone service,DSL,No,No internet service,No internet service,No,Yes,Yes,One year,Yes,Mailed check,116.97,Yes,935.76
0020-TEST,Female,0,No,No,42,No,Yes,No,Yes,No,Yes,Yes,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),107.11,No,4498.62
0021-TEST,Male,0,Yes,No,47,No,No phone service,DSL,Yes,Yes,No internet service,No internet service,No,Yes,One year,No,Bank transfer (automatic),78.63,No,3695.6099999999997
0022-TEST,Female,0,No,No,38,No,Yes,Fiber optic,No internet service,No internet service,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,109.07,No,4144.66
